No,Service_type,Cost_Type,Product_Group,Serial_No,City,Product_Date,Receipt_Date,Appoint_Date,Complete_Date,TAT01,TAT02,Job_Satus,Defect_Des,Symptom_Desc,Repair_Action_Desc,Labor_Charge_Desc,Engineer,Labor_Charge_Amount,Parts_Amount,Discount_Amount,Total_Invoice_Amount
1,0,Normal Warranty,AUDIO - HOME THEAT,2F/LAHFZ7E-IP-X,Tehran,,2/5/2012,2/5/2012,1/21/2013,0,351,0,WORN-OUT,OTHER PROBLEMS,SOFTWARE UPGRADE,Free Of Charge,Tech15,0,0,0,0
2,1,Normal Warranty,REFRIGERATOR-SBS,AIP244AACA/4E7,Tehran,,7/7/2012,9/10/2012,1/31/2013,65,208,1,SHORT,OTHER PROBLEMS,OTHER REPAIR,Free Of Charge,Tech03,0,3437481.6,687486.32,2748885.28
3,1,Normal Warranty,REFRIGERATOR-SBS,JK-C4BBCAEKL72,Tehran,,7/7/2012,8/15/2012,1/31/2013,38,208,1,OPEN,OTHER PROBLEMS,OTHER REPAIR,Free Of Charge,Tech03,0,4228756.56,845751.312,3383005.248
4,0,Out of Warranty,MONITOR - TFT LCD ,IP2JO4/-A-47,Tehran,,8/7/2012,8/7/2012,1/13/2013,0,158,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Free Of Charge,Tech15,0,0,0,0
5,0,Out of Warranty,AUDIO - MP3 Player,AU/BCQE2A/P,Tehran,,8/7/2012,8/9/2012,1/7/2013,2,153,1,WORN-OUT,OTHER PROBLEMS,SOFTWARE UPGRADE,Medium,Tech07,120000,765488.6,177087.82,708381.68
6,0,Normal Warranty,DVD PLAYER,ARPCA/AIPA4,Tehran,,9/8/2012,9/9/2012,1/21/2013,1,135,1,WORN-OUT,Test OK,No Action,Free Of Charge,Tech14,0,0,0,0
7,1,Out of Warranty,WASHING MACHINE,KOET-4BBAEIPIP-W,Tehran,,10/1/2012,10/6/2012,1/31/2013,5,122,1,SHORT,OTHER PROBLEMS,OTHER REPAIR,Free Of Charge,Tech03,0,0,0,0
8,0,Out of Warranty,VACUUM CLEANER,V/A/2ACZA/4272X,Tehran,40178,10/8/2012,10/10/2012,1/21/2013,2,105,0,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Free Of Charge,Tech17,0,0,0,0
9,0,Out of Warranty,DIGITAL CAMERA,272IP4KL2KLKL,SARI,,10/14/2012,10/15/2012,1/20/2013,1,88,1,DEFORMED,OTHER PROBLEMS,SCRAP,Free Of Charge,Tech11,0,0,0,0
10,0,Out of Warranty,HARD DISK DRIVE,S2-GJ2/BA/4QE-,Tehran,40544,10/15/2012,10/16/2012,1/20/2013,1,87,1,WORN-OUT,OTHER PROBLEMS,REPAIR REFUSAL,Free Of Charge,Tech07,0,0,0,0
11,1,Normal Warranty,PLASMA-42,IP2JQ7/4KL2KLIP,Tehran,,10/20/2012,10/20/2012,1/20/2013,0,82,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech13,540000,11241142.56,2356228.512,8424814.048
12,0,Normal Warranty,AUDIO - MP3 Player,A/2KAU/BCQE2A4,Tehran,,10/29/2012,11/1/2012,1/21/2013,3,84,1,WORN-OUT,OTHER PROBLEMS,PARTS REMOVAL,Minor,Tech07,70000,0,14000,56000
13,0,Out of Warranty,HARD DISK DRIVE,S2/BJ2/BA4A/KL/,Tehran,40553,10/30/2012,10/30/2012,1/20/2013,0,82,1,WORN-OUT,OTHER PROBLEMS,REPAIR REFUSAL,Free Of Charge,Tech07,0,0,0,0
14,1,Out of Warranty,PLASMA-42,IP2JRA/72KL/2,Tehran,,11/1/2012,11/6/2012,1/27/2013,5,87,1,WORN-OUT,PIXEL MISSING,ELECTRICAL PARTS REPLACEMENT,Free Of Charge,Tech08,0,0,0,0
15,0,Out of Warranty,HARD DISK DRIVE,S24KLJDWZZ-ZIP,Tehran,40178,11/4/2012,11/10/2012,1/20/2013,6,77,1,WORN-OUT,OTHER PROBLEMS,REPAIR REFUSAL,Free Of Charge,Tech07,0,0,0,0
16,0,Normal Warranty,DIGITAL CAMERA,ZWECN/CIPE/IP7L,Tehran,,11/5/2012,11/6/2012,1/19/2013,1,75,1,DEFORMED,OTHER PROBLEMS,MECHANICAL PARTS REPLACEMENT,Major,Tech11,250000,1011746.16,252348.232,1008386.828
17,0,Normal Warranty,HARD DISK DRIVE,SAVZJAKS-/AIP/-,Tehran,,11/6/2012,11/6/2012,1/20/2013,0,75,1,WORN-OUT,OTHER PROBLEMS,SOFTWARE UPGRADE,Maximum,Tech07,180000,0,36000,144000
